timestamp,gt_uref_raw,dataset_name,label,iref,tref,ohref,i_range_low,i_range_high,t_range_low,t_range_high,oh_range_low,oh_range_high
2023-07-16 02:00:00,1.7913916110992432,G6M2,g6m2_high_load,1.31,58.0,18.0,1.29,1.33,56,59.5,4,78
2023-07-16 02:01:00,1.7903599739074707,G6M2,g6m2_high_load,1.31,58.0,18.0,1.29,1.33,56,59.5,4,78
2023-07-16 02:02:00,1.7911016941070557,G6M2,g6m2_high_load,1.31,58.0,18.0,1.29,1.33,56,59.5,4,78
2023-07-16 02:03:00,1.7907383441925049,G6M2,g6m2_high_load,1.31,58.0,18.0,1.29,1.33,56,59.5,4,78
2023-07-16 02:04:00,1.789246678352356,G6M2,g6m2_high_load,1.31,58.0,18.0,1.29,1.33,56,59.5,4,78
2023-07-16 02:05:00,1.790719985961914,G6M2,g6m2_high_load,1.31,58.0,18.0,1.29,1.33,56,59.5,4,78
2023-07-16 02:06:00,1.7911700010299683,G6M2,g6m2_high_load,1.31,58.0,18.0,1.29,1.33,56,59.5,4,78
2023-07-16 02:07:00,1.7896116971969604,G6M2,g6m2_high_load,1.31,58.0,18.0,1.29,1.33,56,59.5,4,78
2023-07-16 02:08:00,1.7921650409698486,G6M2,g6m2_high_load,1.31,58.0,18.0,1.29,1.33,56,59.5,4,78
2023-07-16 02:09:00,1.7901732921600342,G6M2,g6m2_high_load,1.31,58.0,18.0,1.29,1.33,56,59.5,4,78
2023-07-16 02:10:00,1.7920182943344116,G6M2,g6m2_high_load,1.31,58.0,18.0,1.29,1.33,56,59.5,4,78
2023-07-16 02:11:00,1.7909367084503174,G6M2,g6m2_high_load,1.31,58.0,18.0,1.29,1.33,56,59.5,4,78
2023-07-16 02:12:00,1.7910816669464111,G6M2,g6m2_high_load,1.31,58.0,18.0,1.29,1.33,56,59.5,4,78
2023-07-16 02:13:00,1.7918133735656738,G6M2,g6m2_high_load,1.31,58.0,18.0,1.29,1.33,56,59.5,4,78
2023-07-16 02:14:00,1.7923849821090698,G6M2,g6m2_high_load,1.31,58.0,18.0,1.29,1.33,56,59.5,4,78
2023-07-16 02:15:00,1.792263388633728,G6M2,g6m2_high_load,1.31,58.0,18.0,1.29,1.33,56,59.5,4,78
2023-07-16 02:16:00,1.7931749820709229,G6M2,g6m2_high_load,1.31,58.0,18.0,1.29,1.33,56,59.5,4,78
2023-07-16 02:17:00,1.7941733598709106,G6M2,g6m2_high_load,1.31,58.0,18.0,1.29,1.33,56,59.5,4,78
2023-07-16 02:18:00,1.7923099994659424,G6M2,g6m2_high_load,1.31,58.0,18.0,1.29,1.33,56,59.5,4,78
2023-07-16 02:19:00,1.791116714477539,G6M2,g6m2_high_load,1.31,58.0,18.0,1.29,1.33,56,59.5,4,78
2023-07-16 02:20:00,1.791906714439392,G6M2,g6m2_high_load,1.31,58.0,18.0,1.29,1.33,56,59.5,4,78
2023-07-16 02:21:00,1.7922500371932983,G6M2,g6m2_high_load,1.31,58.0,18.0,1.29,1.33,56,59.5,4,78
2023-07-16 02:22:00,1.7913233041763306,G6M2,g6m2_high_load,1.31,58.0,18.0,1.29,1.33,56,59.5,4,78
2023-07-16 02:23:00,1.790743350982666,G6M2,g6m2_high_load,1.31,58.0,18.0,1.29,1.33,56,59.5,4,78
2023-07-16 02:24:00,1.7908682823181152,G6M2,g6m2_high_load,1.31,58.0,18.0,1.29,1.33,56,59.5,4,78
2023-07-16 02:25:00,1.7923716306686401,G6M2,g6m2_high_load,1.31,58.0,18.0,1.29,1.33,56,59.5,4,78
2023-07-16 02:26:00,1.792116641998291,G6M2,g6m2_high_load,1.31,58.0,18.0,1.29,1.33,56,59.5,4,78
