timestamp,gt_uref_raw,dataset_name,label,iref,tref,ohref,i_range_low,i_range_high,t_range_low,t_range_high,oh_range_low,oh_range_high
2023-07-16 15:59:00,1.732223391532898,G6M2,g6m2_mid_load,1.0,58.0,33.0,0.98,1.02,57,60,7,142
2023-07-23 15:00:00,1.7453383207321167,G6M2,g6m2_mid_load,1.0,58.0,33.0,0.98,1.02,57,60,7,142
2023-09-24 13:00:00,1.7482550144195557,G6M2,g6m2_mid_load,1.0,58.0,33.0,0.98,1.02,57,60,7,142
2023-09-24 13:01:00,1.7486482858657837,G6M2,g6m2_mid_load,1.0,58.0,33.0,0.98,1.02,57,60,7,142
2023-09-24 13:02:00,1.7489817142486572,G6M2,g6m2_mid_load,1.0,58.0,33.0,0.98,1.02,57,60,7,142
2023-09-24 13:03:00,1.749388337135315,G6M2,g6m2_mid_load,1.0,58.0,33.0,0.98,1.02,57,60,7,142
2023-09-24 13:04:00,1.7500183582305908,G6M2,g6m2_mid_load,1.0,58.0,33.0,0.98,1.02,57,60,7,142
2023-09-24 13:05:00,1.7506517171859741,G6M2,g6m2_mid_load,1.0,58.0,33.0,0.98,1.02,57,60,7,142
2023-09-24 13:06:00,1.7496166229248047,G6M2,g6m2_mid_load,1.0,58.0,33.0,0.98,1.02,57,60,7,142
2023-09-24 13:07:00,1.7508783340454102,G6M2,g6m2_mid_load,1.0,58.0,33.0,0.98,1.02,57,60,7,142
2023-09-24 13:08:00,1.7504750490188599,G6M2,g6m2_mid_load,1.0,58.0,33.0,0.98,1.02,57,60,7,142
2023-09-24 13:09:00,1.7505199909210205,G6M2,g6m2_mid_load,1.0,58.0,33.0,0.98,1.02,57,60,7,142
2023-09-24 13:10:00,1.751063346862793,G6M2,g6m2_mid_load,1.0,58.0,33.0,0.98,1.02,57,60,7,142
2023-09-24 13:11:00,1.7506933212280273,G6M2,g6m2_mid_load,1.0,58.0,33.0,0.98,1.02,57,60,7,142
2023-09-24 13:12:00,1.7509249448776245,G6M2,g6m2_mid_load,1.0,58.0,33.0,0.98,1.02,57,60,7,142
