timestamp,gt_uref_raw,dataset_name,label,iref,tref,ohref,i_range_low,i_range_high,t_range_low,t_range_high,oh_range_low,oh_range_high
19/06/2021,1.886777318,G1M1_new,g1m1_high_load,1.48,57,100,1.46,1.5,56,58,14,500
03/08/2021,1.890341997,G1M1_new,g1m1_high_load,1.48,57,100,1.46,1.5,56,58,14,500
03/02/2022,1.945407475,G1M1_new,g1m1_high_load,1.48,57,100,1.46,1.5,56,58,14,500
24/05/2022,1.949042329,G1M1_new,g1m1_high_load,1.48,57,100,1.46,1.5,56,58,14,500
29/01/2023,2.146949125,G1M1_new,g1m1_high_load,1.48,57,100,1.46,1.5,56,58,14,500
15/07/2023,2.150700102,G1M1_new,g1m1_high_load,1.48,57,100,1.46,1.5,56,58,14,500
23/09/2023,2.157914416,G1M1_new,g1m1_high_load,1.48,57,100,1.46,1.5,56,58,14,500
31/03/2024,2.17572192,G1M1_new,g1m1_high_load,1.48,57,100,1.46,1.5,56,58,14,500
22/06/2024,2.173273923,G1M1_new,g1m1_high_load,1.48,57,100,1.46,1.5,56,58,14,500
21/09/2024,2.178498033,G1M1_new,g1m1_high_load,1.48,57,100,1.46,1.5,56,58,14,500
15/03/2025,2.199250351,G1M1_new,g1m1_high_load,1.48,57,100,1.46,1.5,56,58,14,500
13/09/2025,2.219520268,G1M1_new,g1m1_high_load,1.48,57,100,1.46,1.5,56,58,14,500
06/12/2025,2.234660786,G1M1_new,g1m1_high_load,1.48,57,100,1.46,1.5,56,58,14,500
