timestamp,gt_uref_raw,dataset_name,label,iref,tref,ohref,i_range_low,i_range_high,t_range_low,t_range_high,oh_range_low,oh_range_high
2021-01-05,1.6205953227923076,G1M1_new,g1m1_low_load,0.3,58,11,0.28,0.32,56,60,1.6,76
2021-01-10,1.6277215097238096,G1M1_new,g1m1_low_load,0.3,58,11,0.28,0.32,56,60,1.6,76
2021-02-04,1.60768421,G1M1_new,g1m1_low_load,0.3,58,11,0.28,0.32,56,60,1.6,76
2021-02-05,1.6231684003613445,G1M1_new,g1m1_low_load,0.3,58,11,0.28,0.32,56,60,1.6,76
2021-02-08,1.6182519064999998,G1M1_new,g1m1_low_load,0.3,58,11,0.28,0.32,56,60,1.6,76
2021-02-10,1.628088045864542,G1M1_new,g1m1_low_load,0.3,58,11,0.28,0.32,56,60,1.6,76
2021-03-03,1.6132269418571428,G1M1_new,g1m1_low_load,0.3,58,11,0.28,0.32,56,60,1.6,76
2021-03-04,1.60756611446875,G1M1_new,g1m1_low_load,0.3,58,11,0.28,0.32,56,60,1.6,76
2021-03-08,1.6213454425999998,G1M1_new,g1m1_low_load,0.3,58,11,0.28,0.32,56,60,1.6,76
2021-03-10,1.630381620493827,G1M1_new,g1m1_low_load,0.3,58,11,0.28,0.32,56,60,1.6,76
2021-03-11,1.6251142024842768,G1M1_new,g1m1_low_load,0.3,58,11,0.28,0.32,56,60,1.6,76
2021-04-11,1.6272709920104167,G1M1_new,g1m1_low_load,0.3,58,11,0.28,0.32,56,60,1.6,76
2021-04-12,1.6300108900410677,G1M1_new,g1m1_low_load,0.3,58,11,0.28,0.32,56,60,1.6,76
2021-04-14,1.6122167705,G1M1_new,g1m1_low_load,0.3,58,11,0.28,0.32,56,60,1.6,76
2021-04-29,1.617275687542857,G1M1_new,g1m1_low_load,0.3,58,11,0.28,0.32,56,60,1.6,76
2021-04-30,1.619401911940442,G1M1_new,g1m1_low_load,0.3,58,11,0.28,0.32,56,60,1.6,76
2021-05-10,1.6243107303636362,G1M1_new,g1m1_low_load,0.3,58,11,0.28,0.32,56,60,1.6,76
2021-05-11,1.628408084376112,G1M1_new,g1m1_low_load,0.3,58,11,0.28,0.32,56,60,1.6,76
2021-05-12,1.6331074922817166,G1M1_new,g1m1_low_load,0.3,58,11,0.28,0.32,56,60,1.6,76
2021-05-14,1.6181433628717947,G1M1_new,g1m1_low_load,0.3,58,11,0.28,0.32,56,60,1.6,76
2021-05-15,1.6217400440243903,G1M1_new,g1m1_low_load,0.3,58,11,0.28,0.32,56,60,1.6,76
2021-05-17,1.623288393,G1M1_new,g1m1_low_load,0.3,58,11,0.28,0.32,56,60,1.6,76
2021-06-08,1.618011150438356,G1M1_new,g1m1_low_load,0.3,58,11,0.28,0.32,56,60,1.6,76
2021-06-11,1.6311231504498778,G1M1_new,g1m1_low_load,0.3,58,11,0.28,0.32,56,60,1.6,76
2021-06-12,1.6336453669833333,G1M1_new,g1m1_low_load,0.3,58,11,0.28,0.32,56,60,1.6,76
2021-06-17,1.6143201828,G1M1_new,g1m1_low_load,0.3,58,11,0.28,0.32,56,60,1.6,76
2021-06-18,1.6191298611764706,G1M1_new,g1m1_low_load,0.3,58,11,0.28,0.32,56,60,1.6,76
2021-07-08,1.6227967752283814,G1M1_new,g1m1_low_load,0.3,58,11,0.28,0.32,56,60,1.6,76
2021-07-10,1.6214078749999998,G1M1_new,g1m1_low_load,0.3,58,11,0.28,0.32,56,60,1.6,76
2021-07-11,1.6316332136190475,G1M1_new,g1m1_low_load,0.3,58,11,0.28,0.32,56,60,1.6,76
2021-07-12,1.632182636368984,G1M1_new,g1m1_low_load,0.3,58,11,0.28,0.32,56,60,1.6,76
2021-08-05,1.6193739258888888,G1M1_new,g1m1_low_load,0.3,58,11,0.28,0.32,56,60,1.6,76
2021-08-08,1.6235661956609442,G1M1_new,g1m1_low_load,0.3,58,11,0.28,0.32,56,60,1.6,76
2021-08-10,1.624855749481805,G1M1_new,g1m1_low_load,0.3,58,11,0.28,0.32,56,60,1.6,76
2021-08-12,1.6309307166589149,G1M1_new,g1m1_low_load,0.3,58,11,0.28,0.32,56,60,1.6,76
2021-08-26,1.6198841219558824,G1M1_new,g1m1_low_load,0.3,58,11,0.28,0.32,56,60,1.6,76
