timestamp,gt_uref_raw,dataset_name,label,iref,tref,ohref,i_range_low,i_range_high,t_range_low,t_range_high,oh_range_low,oh_range_high
2021-02-20,1.7562702601955782,G1M1_new,g1m1_mid_load,1.0,58.0,100.0,0.98,1.02,57,59,14,500
2021-02-21,1.7569092869885021,G1M1_new,g1m1_mid_load,1.0,58.0,100.0,0.98,1.02,57,59,14,500
2021-02-22,1.7599374180630698,G1M1_new,g1m1_mid_load,1.0,58.0,100.0,0.98,1.02,57,59,14,500
2021-02-23,1.7613843951906476,G1M1_new,g1m1_mid_load,1.0,58.0,100.0,0.98,1.02,57,59,14,500
2021-02-24,1.7629236623025835,G1M1_new,g1m1_mid_load,1.0,58.0,100.0,0.98,1.02,57,59,14,500
2021-02-25,1.7626602741955972,G1M1_new,g1m1_mid_load,1.0,58.0,100.0,0.98,1.02,57,59,14,500
2021-02-26,1.7605157147665493,G1M1_new,g1m1_mid_load,1.0,58.0,100.0,0.98,1.02,57,59,14,500
2021-02-27,1.7622237515328498,G1M1_new,g1m1_mid_load,1.0,58.0,100.0,0.98,1.02,57,59,14,500
2021-02-28,1.7627802275648021,G1M1_new,g1m1_mid_load,1.0,58.0,100.0,0.98,1.02,57,59,14,500
2021-03-01,1.763843074039828,G1M1_new,g1m1_mid_load,1.0,58.0,100.0,0.98,1.02,57,59,14,500
2021-03-02,1.7628436012393804,G1M1_new,g1m1_mid_load,1.0,58.0,100.0,0.98,1.02,57,59,14,500
2021-03-03,1.7608477115631103,G1M1_new,g1m1_mid_load,1.0,58.0,100.0,0.98,1.02,57,59,14,500
2021-03-04,1.7607441597426965,G1M1_new,g1m1_mid_load,1.0,58.0,100.0,0.98,1.02,57,59,14,500
2021-03-05,1.761290364578122,G1M1_new,g1m1_mid_load,1.0,58.0,100.0,0.98,1.02,57,59,14,500
2021-03-06,1.761691621959512,G1M1_new,g1m1_mid_load,1.0,58.0,100.0,0.98,1.02,57,59,14,500
2021-03-07,1.7634067058076166,G1M1_new,g1m1_mid_load,1.0,58.0,100.0,0.98,1.02,57,59,14,500
2021-03-08,1.7642406883613924,G1M1_new,g1m1_mid_load,1.0,58.0,100.0,0.98,1.02,57,59,14,500
2021-03-09,1.7646660743275595,G1M1_new,g1m1_mid_load,1.0,58.0,100.0,0.98,1.02,57,59,14,500
2021-03-10,1.7641087903717134,G1M1_new,g1m1_mid_load,1.0,58.0,100.0,0.98,1.02,57,59,14,500
2021-03-11,1.7656550524092827,G1M1_new,g1m1_mid_load,1.0,58.0,100.0,0.98,1.02,57,59,14,500
2021-03-12,1.7683424869781645,G1M1_new,g1m1_mid_load,1.0,58.0,100.0,0.98,1.02,57,59,14,500
2021-03-13,1.7675165903114365,G1M1_new,g1m1_mid_load,1.0,58.0,100.0,0.98,1.02,57,59,14,500
2021-03-14,1.7671558257362714,G1M1_new,g1m1_mid_load,1.0,58.0,100.0,0.98,1.02,57,59,14,500
2021-03-15,1.7664068659265955,G1M1_new,g1m1_mid_load,1.0,58.0,100.0,0.98,1.02,57,59,14,500
