timestamp,gt_uref_raw,dataset_name,label,iref,tref,ohref,i_range_low,i_range_high,t_range_low,t_range_high,oh_range_low,oh_range_high
2023-01-10,1.621810794,G6M2,g6m2_low_load,0.28,57,10,0.26,0.3,53,60,2,43
2023-01-11,1.6095033860903227,G6M2,g6m2_low_load,0.28,57,10,0.26,0.3,53,60,2,43
2023-02-10,1.609451652,G6M2,g6m2_low_load,0.28,57,10,0.26,0.3,53,60,2,43
2023-02-11,1.6097041765,G6M2,g6m2_low_load,0.28,57,10,0.26,0.3,53,60,2,43
2023-03-08,1.608989179,G6M2,g6m2_low_load,0.28,57,10,0.26,0.3,53,60,2,43
2023-03-10,1.6106899976666664,G6M2,g6m2_low_load,0.28,57,10,0.26,0.3,53,60,2,43
2023-04-10,1.616976619,G6M2,g6m2_low_load,0.28,57,10,0.26,0.3,53,60,2,43
2023-04-11,1.6094696170526315,G6M2,g6m2_low_load,0.28,57,10,0.26,0.3,53,60,2,43
2023-05-08,1.6076050400000002,G6M2,g6m2_low_load,0.28,57,10,0.26,0.3,53,60,2,43
2023-07-08,1.621218324,G6M2,g6m2_low_load,0.28,57,10,0.26,0.3,53,60,2,43
2023-07-10,1.6102144782323233,G6M2,g6m2_low_load,0.28,57,10,0.26,0.3,53,60,2,43
2023-07-13,1.598123312,G6M2,g6m2_low_load,0.28,57,10,0.26,0.3,53,60,2,43
2023-07-14,1.598086715,G6M2,g6m2_low_load,0.28,57,10,0.26,0.3,53,60,2,43
2023-07-16,1.6008718013521126,G6M2,g6m2_low_load,0.28,57,10,0.26,0.3,53,60,2,43
2023-07-18,1.5968478577142857,G6M2,g6m2_low_load,0.28,57,10,0.26,0.3,53,60,2,43
2023-07-19,1.599084973,G6M2,g6m2_low_load,0.28,57,10,0.26,0.3,53,60,2,43
2023-07-20,1.594858289,G6M2,g6m2_low_load,0.28,57,10,0.26,0.3,53,60,2,43
2023-07-21,1.606979966,G6M2,g6m2_low_load,0.28,57,10,0.26,0.3,53,60,2,43
2023-07-22,1.6058489083333332,G6M2,g6m2_low_load,0.28,57,10,0.26,0.3,53,60,2,43
2023-07-23,1.613185048,G6M2,g6m2_low_load,0.28,57,10,0.26,0.3,53,60,2,43
2023-07-29,1.5998183490000002,G6M2,g6m2_low_load,0.28,57,10,0.26,0.3,53,60,2,43
2023-07-30,1.604359984,G6M2,g6m2_low_load,0.28,57,10,0.26,0.3,53,60,2,43
2023-07-31,1.6120741365,G6M2,g6m2_low_load,0.28,57,10,0.26,0.3,53,60,2,43
2023-08-11,1.6116444242413792,G6M2,g6m2_low_load,0.28,57,10,0.26,0.3,53,60,2,43
2023-09-18,1.6058722336666669,G6M2,g6m2_low_load,0.28,57,10,0.26,0.3,53,60,2,43
2023-09-19,1.6101160843333335,G6M2,g6m2_low_load,0.28,57,10,0.26,0.3,53,60,2,43
2023-09-20,1.612658322,G6M2,g6m2_low_load,0.28,57,10,0.26,0.3,53,60,2,43
2023-09-21,1.6080208425,G6M2,g6m2_low_load,0.28,57,10,0.26,0.3,53,60,2,43
2023-09-22,1.6070658565,G6M2,g6m2_low_load,0.28,57,10,0.26,0.3,53,60,2,43
2023-09-24,1.6099066120303032,G6M2,g6m2_low_load,0.28,57,10,0.26,0.3,53,60,2,43
2023-09-25,1.603856683,G6M2,g6m2_low_load,0.28,57,10,0.26,0.3,53,60,2,43
2023-09-27,1.61085999,G6M2,g6m2_low_load,0.28,57,10,0.26,0.3,53,60,2,43
2023-09-28,1.604175806,G6M2,g6m2_low_load,0.28,57,10,0.26,0.3,53,60,2,43
2023-09-29,1.6036091445,G6M2,g6m2_low_load,0.28,57,10,0.26,0.3,53,60,2,43
2023-10-14,1.6113547087058824,G6M2,g6m2_low_load,0.28,57,10,0.26,0.3,53,60,2,43
