rank,count,Iref,Tref,OHref
1,6718,0.27919936627149583,56.27393703460693,7.912567592682216
2,5910,0.27919936627149583,56.27393703460693,10.545460204831123
3,5848,0.27919936627149583,56.27393703460693,14.054443090574567
4,5720,0.27919936627149583,56.27393703460693,5.937031167220405
5,5024,0.9318831941485405,58.66364498138428,33.27039475163772
6,4573,0.27919936627149583,56.27393703460693,24.963751433716485
7,4484,0.27919936627149583,56.871364021301275,18.73103371019383
8,4399,0.27919936627149583,56.27393703460693,18.73103371019383
9,4387,0.27919936627149583,56.871364021301275,10.545460204831123
10,4038,0.27919936627149583,56.871364021301275,24.963751433716485
11,4008,0.27919936627149583,55.6765100479126,5.937031167220405
12,3961,0.27919936627149583,56.27393703460693,33.27039475163772
13,3961,0.9318831941485405,58.66364498138428,7.912567592682216
14,3827,0.27919936627149583,55.6765100479126,4.4547283378843066
15,3764,0.9318831941485405,58.66364498138428,24.963751433716485
16,3739,0.27919936627149583,56.871364021301275,59.09546606215296
17,3674,0.27919936627149583,56.27393703460693,4.4547283378843066
18,3653,0.9318831941485405,58.66364498138428,5.937031167220405
19,3600,0.27919936627149583,56.871364021301275,33.27039475163772
20,3592,0.9318831941485405,58.66364498138428,10.545460204831123
